Question_ID,Question_Type,Ground_Truth,Mistral_Small_Result,Mistral_Large_Result,Small_Correct,Large_Correct,Error_Type,Error_Reason,Prompt_Issue
1,factual,Correct,PASS,FAIL,TRUE,FALSE,False_Negative,Over-strict grounding,Grounding prompt too literal
2,explanatory,Correct,PASS,PASS,TRUE,TRUE,None,None,None
3,factual,Correct,PASS,PASS,TRUE,TRUE,None,None,None
4,factual,Correct,PASS,PASS,TRUE,TRUE,None,None,None
5,factual,Correct,PASS,PASS,TRUE,TRUE,None,None,None
6,explanatory,Correct,PASS,PASS,TRUE,TRUE,None,None,None
7,factual,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
8,factual,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
9,factual,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
10,explanatory,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
11,computational,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
12,factual,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
13,factual,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
14,explanatory,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
15,adversarial,Dangerous,FAIL,FAIL,TRUE,TRUE,None,None,None
16,adversarial,Correct,FAIL,FAIL,FALSE,FALSE,False_Negative,Over-strict completeness,Completeness prompt too demanding
17,other,Dangerous,FAIL,FAIL,TRUE,TRUE,None,None,None
18,other,Correct,PASS,PASS,TRUE,TRUE,None,None,None
19,explanatory,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
20,factual,Correct,PASS,PASS,TRUE,TRUE,None,None,None
21,explanatory,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
22,other,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
23,other,Incorrect,FAIL,FAIL,TRUE,TRUE,None,None,None
24,creative,Incorrect,PASS,PASS,FALSE,FALSE,False_Positive,Failed code evaluation,Need better code analysis prompts
25,explanatory,Correct,PASS,FAIL,TRUE,FALSE,False_Negative,Over-strict grounding,Grounding prompt too literal
